code,bench_name,current_name,lat,lon,id_trazado,tipo_esta,num_vag,area_est,long_est,ancho_est,num_acc,acc_puent,esta_oper,match_status,in_benchmark_147
07101,CASTELLANA,La Castellana,4.67561116,-74.06444317,TZ008,4,4,657.2,164.3,4.0,1,1,1,geojson,True
07102,NQS - CALLE 75,Calle 75 - Zona M,4.67015101,-74.07130491999999,TZ008,4,2,463.24,115.81,4.0,1,1,1,geojson,True
07103,AV. CHILE,AV. Chile,4.66635264,-74.07457455,TZ008,4,3,694.56,173.64,4.0,2,2,1,geojson,True
07104,Simon Bolivar,7 de Agosto,4.65729528,-74.07768646000001,TZ008,4,2,492.92,123.23,4.0,1,1,1,geojson,True
07105,MOVISTAR ARENA,Movistar Arena,4.65003985,-74.07836246,TZ008,4,2,491.28,122.82,4.0,1,1,1,geojson,True
07106,EL CAMPIN,Campín - UAN,4.64539756,-74.07871009,TZ008,4,2,491.28,122.82,4.0,2,2,1,geojson,True
07107,U. NACIONAL,Universidad Nacional,4.63712105,-74.07932618000001,TZ008,4,3,833.59966667,188.03,4.43333333,2,2,1,geojson,True
07108,Av. El Dorado,AV. ElDorado,4.63066841,-74.07987857,TZ008,4,2,192.4,48.1,4.0,1,1,1,geojson,True
07109,CAD,CAD,4.62341573,-74.08418121000001,TZ008,4,2,520.28,130.07,4.0,2,2,1,geojson,True
07110,PALOQUEMAO,Paloquemao,4.61692188,-74.08955344,TZ008,4,2,491.4,122.85,4.0,1,1,1,geojson,True
07112,COMUNEROS,Comuneros,4.60424998,-74.09986137,TZ010,4,2,520.64,130.16,4.0,2,1,1,geojson,True
07113,SANTA ISABEL,Santa Isabel,4.60167503,-74.10261755,TZ010,4,2,357.04,89.26,4.0,1,0,1,geojson,True
07200,Tygua-San José,Tygua - San José,4.5997872,-74.08876139,TZ007,4,2,486.68,121.67,4.0,2,0,1,geojson,True
07201,Guatoque -Veraguas,Guatoque - Veraguas,4.60417101,-74.09493313,TZ007,4,2,415.2,103.8,4.0,1,0,1,geojson,True
07503,SAN MATEO,San Mateo - CC Unisur,4.58596064,-74.20544974,TZ011,2,3,492.8,123.2,4.0,3,3,1,geojson,True
07504,TERREROS,Terreros - Hospital Cardio Vascular,4.5889627,-74.19952261,TZ011,4,3,358.0,89.5,4.0,1,1,1,geojson,True
07505,LEON XIII,León XIII,4.59217281,-74.19313531,TZ011,4,2,358.0,89.5,4.0,1,1,1,geojson,True
07506,DESPENSA,La Despensa,4.59459382,-74.18811218,TZ011,4,2,358.0,89.5,4.0,1,1,1,geojson,True
08000,Portal Tunal,Portal Tunal,4.56957146,-74.1392402,TZ014,1,1,0.0,323.17,0.0,2,0,1,geojson,True
08001,Parque el Tunal,Parque,4.56832656,-74.13541451,TZ014,4,1,0.0,45.66,0.0,2,0,1,geojson,True
08002,Biblioteca,Biblioteca,4.57030352,-74.13038868000001,TZ014,4,1,0.0,45.68,0.0,1,0,1,geojson,True
09000,Cabecera Usme,Portal Usme,4.53171458,-74.11939099,TZ013,1,1,0.0,402.9,0.0,1,0,1,geojson,True
09001,Molinos,Molinos,4.55706456,-74.12182779,TZ012,2,2,432.48,108.12,4.0,2,1,1,geojson,True
09002,Consuelo,Consuelo,4.5602273,-74.12387433,TZ012,4,2,326.28,81.57,4.0,1,0,1,geojson,True
09003,Socorro,Socorro,4.56465328,-74.12558394,TZ012,4,2,329.6,82.4,4.0,1,0,1,geojson,True
09004,Santa Lucía,Santa Lucía,4.57096848,-74.12470872,TZ012,4,2,486.24,121.56,4.0,2,0,1,geojson,True
09100,Calle 40 Sur,Calle 40 Sur,4.57579415,-74.12007924000001,TZ012,2,3,719.68,179.92,4.0,2,0,1,geojson,True
09101,Quiroga,Quiroga,4.57680973,-74.11438051,TZ012,4,2,345.4,86.35,4.0,1,0,1,geojson,True
09103,Olaya,Olaya,4.57891519,-74.10736381999999,TZ012,4,3,307.28,76.82,4.0,1,0,1,geojson,True
09104,Restrepo,Restrepo,4.58184906,-74.10142878,TZ012,4,2,480.68,120.17,4.0,2,0,1,geojson,True
09105,Río Fucha,Fucha,4.58297258,-74.09940175,TZ012,4,2,320.16,80.04,4.0,1,0,1,geojson,True
09106,Nariño,Nariño,4.58628471,-74.09392542,TZ012,4,2,353.96,88.49,4.0,1,0,1,geojson,True
09107,Hortúa,Hortúa,4.59084725,-74.090246,TZ012,4,2,401.8,100.45,4.0,2,0,1,geojson,True
09108,Hospital,Hospital,4.59505052,-74.08622629,TZ012,4,2,369.48,92.37,4.0,2,0,1,geojson,True
09109,Tercer Milenio,Tercer Milenio,4.59813501,-74.08383625,TZ001,4,3,644.0,184.0,3.5,2,0,1,geojson,True
09110,Avenida Jimenez,Temporal AV. Jiménez - Inter Eléctricas,4.60286688,-74.08040995,TZ001,3,3,631.155,180.33,3.5,2,0,1,geojson,True
09111,Calle 19,Calle 19,4.60786462,-74.07686968,TZ001,4,3,638.715,182.49,3.5,2,0,1,geojson,True
09113,Calle 22,Temporal Calle 22,4.61001988,-74.07554139000001,TZ001,4,3,642.95,183.7,3.5,2,0,1,geojson,True
09114,Calle 26,Calle 26 - Atrio,4.61665155,-74.07215846000001,TZ001,4,3,638.82,182.52,3.5,2,0,1,geojson,True
09115,Calle 34,Temporal Calle 34,4.62157551,-74.06971918,TZ001,4,2,526.4,150.4,3.5,2,0,1,geojson,True
09116,Avenida 39,Temporal AV. 39,4.62689718,-74.06869679,TZ001,4,3,644.0,184.0,3.5,2,0,1,geojson,True
09117,Calle 45,Calle 45 - American School Way,4.63145241,-74.06787872000001,TZ001,4,3,638.89,182.54,3.5,2,0,1,geojson,True
09118,Marly,Temporal Marly,4.63755905,-74.06678795,TZ001,4,3,594.44,176.19,3.5,2,0,1,geojson,True
09119,Calle 57,Temporal Calle 57,4.64298162,-74.06582825999999,TZ001,4,2,526.365,150.39,3.5,2,0,1,geojson,True
09120,Calle 63,Calle 63,4.64840397,-74.06487053000001,TZ001,4,3,656.6,187.6,3.5,2,0,1,geojson,True
09121,Las Flores,Temporal Flores – Areandina,4.65490299,-74.06300913,TZ001,4,2,384.125,109.75,3.5,2,0,1,geojson,True
09122,Calle 72,Calle 72 - Areandina,4.65823755,-74.06206786,TZ001,4,3,1915.0,383.0,5.0,2,0,1,geojson,True
09123,Calle 76,Calle 76 - San Felipe,4.66302945,-74.06126126,TZ001,4,3,637.875,182.25,3.5,2,0,1,geojson,True
10000,Portal 20 de Julio,Portal 20 de Julio,4.56571812,-74.09700841,TZ018,1,1,0.0,489.11,0.0,1,0,1,geojson,True
10001,Country Sur,Country Sur,4.57141673,-74.09863413000001,TZ018,4,2,461.24,115.31,4.0,2,0,1,geojson,True
10002,Av. Primero de Mayo,AV. 1 Mayo,4.57693931,-74.0937094,TZ018,2,3,869.28,217.32,4.0,2,0,1,geojson,True
10003,Ciudad Jardín,Ciudad Jardín - UAN,4.58154254,-74.0903516,TZ018,4,2,433.12,108.28,4.0,1,0,1,geojson,True
10004,Policarpa,Policarpa,4.58611582,-74.08701654000001,TZ018,4,2,494.72,123.68,4.0,2,0,1,geojson,True
10005,Bicentenario,Bicentenario,4.59402077,-74.08183542,TZ018,2,3,733.04,183.26,4.0,1,1,1,geojson,True
10006,San Victorino,San Victorino,4.60102943,-74.07742242,TZ018,4,3,791.2,197.8,4.0,2,0,1,geojson,True
10007,Las Nieves,Las Nieves,4.60606534,-74.07432675,TZ018,4,2,520.4,130.1,4.0,2,0,1,geojson,True
10008,San Diego,San Diego,4.61089909,-74.07150007,TZ018,4,2,1392.36,348.09,4.0,2,0,1,geojson,True
10009,Museo Nacional,Museo Nacional,4.6152449,-74.06921969,TZ019,4,2,0.0,123.83,0.0,1,0,1,geojson,True
10010,San Bernardo,San Bernardo,4.59019556,-74.08432732,TZ018,4,2,462.84,115.71,4.0,2,0,1,geojson,True
12000,Puente Aranda,Puente Aranda,4.62566974,-74.10463943,TZ009,4,2,356.8,89.2,4.0,1,0,1,geojson,True
12001,Carrera 43,Carrera 43 - Comapan,4.62278154,-74.10143788,TZ009,4,2,385.8,96.45,4.0,2,0,1,geojson,True
12002,CDS - Carrera 32,CDS - Carrera 32,4.61613616,-74.09394954000001,TZ009,4,2,385.72,96.43,4.0,2,0,1,geojson,True
12003,Ricaurte,Ricaurte - CL 13,4.61301798,-74.0904765,TZ009,3,6,736.8,184.2,4.0,2,0,1,geojson,True
12004,Carrera 22,San Facon Carrera 22,4.60973521,-74.08679478,TZ009,4,2,520.64,130.16,4.0,2,0,1,geojson,True
12007,Zona Industrial,Zona Industrial,4.62032526,-74.09868611,TZ009,4,2,385.16,96.29,4.0,2,0,1,geojson,True
14001,La Sabana,De La Sabana,4.6054211,-74.08189427,TZ009,4,2,385.88,96.47,4.0,2,0,1,geojson,True
14004,Museo del Oro,Museo del Oro,4.60115298,-74.07290843,TZ015,4,1,0.0,55.63,0.0,2,0,1,geojson,True
14005,Las Aguas,Las Aguas - Centro Colombo Americano,4.60257976,-74.06840144,TZ015,3,1,0.0,61.73,0.0,3,0,1,geojson,True
07010,Bosa,Bosa,4.59688795,-74.181225,TZ010,4,2,504.32,126.08,4.0,2,2,1,geojson,True
40000,Cable Portal Tunal,,4.57095,-74.1396,,,,,,,,,,coords_only_access_db,False
40001,Juan Pablo II,,4.555476,-74.147523,,,,,,,,,,coords_only_access_db,False
40002,Manitas,,4.550445,-74.150598,,,,,,,,,,coords_only_access_db,False
40003,Mirador del Paraiso,,4.550019,-74.159009,,,,,,,,,,coords_only_access_db,False
